0:0:0:0:0:0:0:1 - - [11/Apr/2023:09:53:56 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7988
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:30:14 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7999
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:30:38 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7970
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:31:03 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4193
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:31:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:31:09 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:31:11 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4193
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:31:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:31:22 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:31:30 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:31:30 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10113
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:31:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:34:19 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10113
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:34:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:34:31 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7970
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:38:12 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:38:19 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:38:19 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10113
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:38:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:38:58 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10113
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:38:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:39:03 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 17079
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:39:41 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 13678
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:39:42 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:39:42 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 17079
0:0:0:0:0:0:0:1 - - [11/Apr/2023:15:50:38 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7970
