127.0.0.1 - - [15/Feb/2023:12:31:01 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:31:02 +0530] "GET /project_3/ HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:31:02 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:31:02 +0530] "GET /project_3/img/log23.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:31:22 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3705
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:31:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:31:22 +0530] "GET /project_3/img/log24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:31:30 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:31:30 +0530] "GET /project_3/img/log28.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:40:32 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3705
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:40:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:40:32 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:40:32 +0530] "GET /project_3/img/log24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:40:39 +0530] "GET /project_3/ HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:44:27 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3705
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:44:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:49:01 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11888
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:49:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:49:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:59:22 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12049
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:59:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Feb/2023:12:59:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:05:45 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7139
