127.0.0.1 - - [13/Apr/2023:10:15:39 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [13/Apr/2023:10:15:40 +0530] "GET /project_3/ HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [13/Apr/2023:10:15:44 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4193
0:0:0:0:0:0:0:1 - - [13/Apr/2023:10:15:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [13/Apr/2023:10:15:49 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [13/Apr/2023:10:15:51 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4193
0:0:0:0:0:0:0:1 - - [13/Apr/2023:10:15:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [13/Apr/2023:10:15:55 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [13/Apr/2023:10:15:59 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4193
0:0:0:0:0:0:0:1 - - [13/Apr/2023:10:15:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [13/Apr/2023:10:16:04 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12388
0:0:0:0:0:0:0:1 - - [13/Apr/2023:10:16:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [13/Apr/2023:10:16:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [13/Apr/2023:12:26:15 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12549
0:0:0:0:0:0:0:1 - - [13/Apr/2023:12:26:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [13/Apr/2023:12:26:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [13/Apr/2023:12:26:27 +0530] "GET /project_3/index.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [13/Apr/2023:12:26:30 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4193
0:0:0:0:0:0:0:1 - - [13/Apr/2023:12:26:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [13/Apr/2023:12:26:34 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7755
