127.0.0.1 - - [09/Apr/2023:09:38:12 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:38:14 +0530] "GET /project_3/ HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:38:19 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3727
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:38:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:38:24 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7246
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:38:42 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:38:42 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9804
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:38:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:38:48 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15368
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:38:48 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:38:48 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:38:48 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:38:58 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 1931
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:40:21 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:41:32 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 500 5047
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:41:43 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15132
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:41:48 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15368
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:41:48 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:41:51 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 500 5047
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:42:02 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:44:29 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 1980
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:44:55 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 1980
0:0:0:0:0:0:0:1 - - [09/Apr/2023:09:45:20 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 1989
